Timestamp,Ticker,Action,Price,RSI,VWAP,Profit_Rate,Reason
2026-02-08 23:18:17,KRW-SOL,BUY,"131,400",22.2,"130,861",,⚡ 골든크로스+VWAP지지 (RSI9:33.33>14:22.22)
2026-02-09 00:26:11,KRW-SOL,BUY,"130,800",23.5,"131,166",,⚡ 골든크로스+VWAP지지 (RSI9:25.0>14:23.53)
2026-02-09 00:29:13,KRW-SOL,SELL_ALL,"130,000",23.1,"131,115",-0.61%,⏰ 시간 손절 (181초 지체)
